likes,views,engagement_pct,post_date,creator_handle,creator_name,followers,shop_video,video_url,caption
88,23400,0.38,2026-05-12,@christy.asmr,christy.asmr,11200,YES,https://www.tiktok.com/@christy.asmr/video/7639146751097703710,crazy DEALS today #tiktokshopcreatorpicks #summervibes #tiktokshopmothersday #tiktokshopme
87,12600,0.69,2025-01-10,@cindellkimbrough,Cindell | Lived-in Life,190300,YES,https://www.tiktok.com/@cindellkimbrough/video/7458321521824582943,"If you want to try it with me, the link is above 👆 🤣 #forscience #beeforgans #hormonehealt"
86,2373,3.62,2025-09-24,@ketobeastbeauty,Ketobeastbeauty,1507,no,https://www.tiktok.com/@ketobeastbeauty/video/7553767554200784142,"💥 QUEEN TIP: Your hormones called... they want nutrients, not nonsense. 👑 Primal Queen’s B"
86,2248,3.83,2025-01-18,@purelywellbeing,purelywellbeing,13900,no,https://www.tiktok.com/@purelywellbeing/video/7461302617080335662,And my ferritin levels increased to 41 a month after my iron jumped!! 🥹 #greenscreen #gree
86,19800,0.43,2024-11-29,@drchrispharmd,DrChrisPharmD,353500,YES,https://www.tiktok.com/@drchrispharmd/video/7442776548920364330,"Replying to @rooted.in.health 🥩 Organ meats are nature’s multivitamin! Packed with Iron, V"
85,26400,0.32,2025-08-13,@its.sarah.taylor,Sarah Taylor 🤎,18500,YES,https://www.tiktok.com/@its.sarah.taylor/video/7538097424154381598,@Primal Queen has changed the game - honest review primal queen #primalqueensupplements #p
85,12600,0.67,2026-08-10,@amandabridges90,Amanda-Leigh Collective,49700,YES,https://www.tiktok.com/@amandabridges90/video/7672134469666491678,@Primal Queen is the one I keep going back to! #primalqueen #supplement #tiktokshopcreator
84,23900,0.35,2024-12-11,@drchrispharmd,DrChrisPharmD,353500,YES,https://www.tiktok.com/@drchrispharmd/video/7447004172110564638,"Replying to @cattlecubemafia 👑✨ Looking for a supplement with Vitamin A, iron, and folate "
83,3766,2.2,2026-04-29,@watchmegetripped,Carlylembo❤️‍🩹ILOST300pounds,70600,YES,https://www.tiktok.com/@watchmegetripped/video/7634169599772134686,The new @Primal Queen #marrow is dropping this week. Grab it in my shopping cart before it
83,11200,0.74,2025-10-03,@watchmegetripped,Carlylembo❤️‍🩹ILOST300pounds,70600,YES,https://www.tiktok.com/@watchmegetripped/video/7556951691921263902,"✨ Forget needles. Forget $5,000 spa treatments. Taking Primal Queen daily is like giving y"
83,440,18.86,2024-11-19,@itscasswhite,💙 Cass  | Maternal Strategist,25900,YES,https://www.tiktok.com/@itscasswhite/video/7438799233706298670,#CapCut @Primalqueenusa #pmdd #pcos #perimenopause @Primal Queen
82,2854,2.87,2025-02-14,@jennamoore02,Jenna Moore,514,no,https://www.tiktok.com/@jennamoore02/video/7471354429980282158,Today marks the beginning of my Primal Queen journey! I’m dedicating this year to transfor
82,714,11.48,2025-03-08,@primalqueenss,primalqueenss,39,no,https://www.tiktok.com/@primalqueenss/video/7479463364406611206,"✨ Hoy es el Día de la Mujer, pero la celebración más importante es la que te das a ti mism"
82,4883,1.68,2026-04-03,@askthemomnutritionist,rachel,16,no,https://www.tiktok.com/@askthemomnutritionist/video/7624505350678449421,"Brands she recommmds instead:  I’ve been getting a lot of adds for primal queen, so I aske"
82,13000,0.63,2024-05-30,@lizzypim,Ely Pimentel,46300,no,https://www.tiktok.com/@lizzypim/video/7374922974664690950,Suplementos para mujeres que si funcionan. Comencé a tomarme estas pastillas hace un mes y
81,9720,0.83,2025-08-22,@chaotic.homemaking,Chelle | TTS,2639,YES,https://www.tiktok.com/@chaotic.homemaking/video/7541236587170925879,True story 😅 (i have an IUD 😆) #menstralcycle #hormonesupport #primalqueen #beeforgans
81,3291,2.46,2025-01-21,@scentfromheaven12,Scent ✨from ✨Heaven,16400,YES,https://www.tiktok.com/@scentfromheaven12/video/7462458263775284523,"Don’t hesitate you will not be disappointed in this, best thing I’ve tried for my wellness"
81,1007,8.04,2026-07-18,@_kuwprincess.jasmine,_kuwprincess.jasmine,2219,no,https://www.tiktok.com/@_kuwprincess.jasmine/video/7663694070455242015,Ladies Free Game💪🏻✨🧿 #fyp #dfw #girlswholift #gymgirl #girlssupportgirls @Physician’s Choi
80,1193,6.71,2026-03-28,@kj.socials,Kori Jae | UGC creator,12300,no,https://www.tiktok.com/@kj.socials/video/7622148208675917087,I’m really loving the results I’m seeing with the @Primal Queen beef organ supplements. I 
79,1004,7.87,2025-08-19,@lovelaughlive0160,Heather_K,10500,YES,https://www.tiktok.com/@lovelaughlive0160/video/7540431272829652255,👑 A supplement made from organs?! Here’s the tea on Primal Queen… “Energy ⚡ Mood 💕 Hormone
79,6124,1.29,2026-07-01,@prettypickedd,Adrienne ✨🛒,288800,shop-other,https://www.tiktok.com/@prettypickedd/video/7657697858824490254,These have helped my glute fullness during my cut  #tiktokshopcreatorpicks #summerwins #de
79,4879,1.62,2025-09-18,@magickalgoddess17,LilithsChaos🖤,23300,YES,https://www.tiktok.com/@magickalgoddess17/video/7551524901341990158,Supplements for women! Start your Primal Queen journey today! #primalqueen #primalqueensup
79,18200,0.43,2025-01-13,@maggienorzow,Maggie Norzow,82500,YES,https://www.tiktok.com/@maggienorzow/video/7459483237409197342,"Beef organ supplements have been a game changer for my heavy periods, cramping, and low en"
78,22100,0.35,2026-08-14,@shaybaexo1,Shaybaexo,82900,shop-other,https://www.tiktok.com/@shaybaexo1/video/7673873941529709854,We’re getting those steps in today 😳 #creatine #primalqueen #morningroutines
78,4512,1.73,2025-09-16,@daya_diaz_11,daya_diaz_11,61100,no,https://www.tiktok.com/@daya_diaz_11/video/7550833318078450951,"👑✨ Primal Queen llegó a mi rutina de bienestar… y wow, la diferencia se siente. Estos supl"
77,12300,0.63,2025-05-01,@britbrit1021,Brit,335,no,https://www.tiktok.com/@britbrit1021/video/7499444138178366750,primal queen negative review #primalqueensupplements #hormonesupport #help #fyp
77,2108,3.65,2025-09-22,@rasmag18,Alexa Kleikamp TT Hype Woman,180300,YES,https://www.tiktok.com/@rasmag18/video/7552983403428089119,I will continue to share this product every single day until you try it because when I tel
77,955,8.06,2025-08-21,@hey.itscheryll,hey.itscheryll,12200,YES,https://www.tiktok.com/@hey.itscheryll/video/7540862676063309070,"✨ Three months in with @PrimalQueen and I feel unstoppable. Strong, confident, and channel"
76,454,16.74,2025-12-17,@lifestylebydianaxo,LifestylebyDiana,17200,no,https://www.tiktok.com/@lifestylebydianaxo/video/7584641352600653111,Officially in my gym girl eraaaa again!! I think I’ll be doing more vlogs styles 🥹🤍💪🏾  Che
75,5629,1.33,2026-05-03,@chelchel1110,Chelsey⚡️,107500,YES,https://www.tiktok.com/@chelchel1110/video/7635725189921180941,I genuinely thought all of this was just part of getting older 😩 @Primal Queen #primalquee
75,5629,1.33,2026-04-26,@cleanbritchesllc,Destin✨| MOM+LIFE+FITNESS,108200,YES,https://www.tiktok.com/@cleanbritchesllc/video/7633185834484763935,"That morning walk of shame hits different after 35… bc of JOINT PAIN, not fun! @PrimalQuee"
74,1816,4.07,2026-04-22,@thismamasonamission,Mama on a Mission,50300,YES,https://www.tiktok.com/@thismamasonamission/video/7631573483641687326,The TikTok sample got me on this one and I kept going. I take @Primal Queen every day and 
74,9205,0.8,2026-06-12,@chelchel1110,Chelsey⚡️,107500,YES,https://www.tiktok.com/@chelchel1110/video/7650592086491794701,"Low iron girlies, wya? When I say @Primal Queen changed things for me, I 100% mean that. A"
74,8416,0.88,2025-01-12,@the_keto_dealer,The Keto Dealer 🖤,86800,no,https://www.tiktok.com/@the_keto_dealer/video/7458918830518127914,Ladies… This is your sign to give female- focused beef organs a try! Learn more at the fir
74,14300,0.52,2026-05-28,@lmwilson1029,HeyLaurenW⭐️,2611,YES,https://www.tiktok.com/@lmwilson1029/video/7644767367066602783,My very honest review of @Primal Queen beef organ supplements. I’m two weeks in and not lo
74,3095,2.39,2025-10-06,@kats_a_bamf,kitty 💖,1534,no,https://www.tiktok.com/@kats_a_bamf/video/7558128896642731295,Its one thing to claim that a specific food source is sacred or has spiritual significance
74,425,17.41,2026-05-28,@esthermaria.s,𝑴𝒂𝒓𝒊𝒂 𝑬𝒔𝒕𝒉𝒆𝒓,5525,no,https://www.tiktok.com/@esthermaria.s/video/7645060944359329038,"I swear I have better energy, I am less bloated & things are MOVING! I have only been taki"
74,4141,1.79,2024-12-05,@wearbead,Wear Bead,26700,YES,https://www.tiktok.com/@wearbead/video/7445051073972276523,#duet with @purelywellbeing #greenscreen #PrimalQueenSupplements #BeefOrganPower #Ancestra
73,642,11.37,2025-08-17,@nickiikcin,Nicki,10200,YES,https://www.tiktok.com/@nickiikcin/video/7539522257979215117,Definitely look into the benefits you can get from taking an organ supplement! After doing
73,2667,2.74,2026-01-06,@hunterpelle,hunterpelle,47300,no,https://www.tiktok.com/@hunterpelle/video/7592115295876025613,Trying to show results with one functioning mom brain cell @Primal Queen #primalqueen #sup
72,1802,4,2025-11-20,@crystalabarista,Crysta⚡️💀Alt Style|Thrifter,46800,YES,https://www.tiktok.com/@crystalabarista/video/7574659978707979551,This is a long one friends. TLDR: Stress will kill you. Hormones are important. I’m gonna 
71,1099,6.46,2025-11-18,@erinbies,Erin Bies,34400,no,https://www.tiktok.com/@erinbies/video/7574137768457014542,I already posted a full Primal Queen deep dive on my YouTube channel and it dropped yester
71,11000,0.65,2026-05-23,@shopwithkellie,Kellie chaos 2739,10000,YES,https://www.tiktok.com/@shopwithkellie/video/7643129420512775454,#Dealsforyoudays #summervibes #primalqueennewarrivals
